Aircraft,In service,Orders
Airbus A319-100,125,0
Airbus A320-200,48,0
Airbus A321-200,219,0
Airbus A321-200,219,0
Airbus A321-200,219,0
Airbus A321-neo,0,100
Airbus A330-200,15,0
Airbus A330-300,9,0
Airbus A350-900,0,22
Boeing 737-800,304,0
Boeing 737 MAX 8,5,95
Boeing 757-200,34,0
Boeing 757-200,34,0
Boeing 767-300ER,23,0
Boeing 777-200ER,47,0
Boeing 777-300ER,20,0
Boeing 787-8,20,0
Boeing 787-9,15,7
Embraer E190,20,0
McDonnell Douglas MD-82,10,0
McDonnell Douglas MD-83,35,0